driver_id,total_fare,avg_distance
69,128.19,38.92
42,77.52,37.43
87,198.07999999999998,22.345
73,73.51,17.11
59,113.56,22.07
22,73.23,19.29
52,34.59,4.66
47,135.86,48.85
43,15.57,42.07
5,54.94,35.37
100,38.0,34.1
70,134.3,7.709999999999999
61,20.29,26.85
27,73.83,28.89
17,12.14,4.23
26,234.77,41.650000000000006
89,69.17,26.54
6,185.33999999999997,26.035
23,101.86,18.32
40,69.37,18.46
25,62.96,3.17
82,98.76,35.07
86,54.7,29.175
81,9.91,33.09
33,75.54,4.12
84,161.34,17.494999999999997
10,128.6,31.78
37,108.86,33.49
49,118.18,33.62
63,12.64,46.53
74,70.04,15.7
50,34.66,40.78
45,264.34,22.41
57,136.71,4.46
